,Aid Station,Section Distance,Total Distance,Crew Access,Drop Bag,"Aid Station
Open/Close",Section Ascent,Section Decent (ft),Section Elevation Change (ft),Total Ascent (ft),Total Decent (ft)
Start,Mohican State Park,0,0,Yes,Yes,5:00 AM,0,0,0,0,0
1A,Gorge Overlook,4.1,4.1,Yes,No,5:30 AM,824,579,245,824,579
2B,Fire Tower,4.5,8.6,Yes,No,6:00 AM,583,338,245,1407,917
3C,Covered Bridge,6.2,14.8,No,Yes,7:15 AM,1072,1429,-357,2479,2346
4D,Hickory Ridge,5.6,20.4,No,No,8:00 AM,545,226,319,3024,2572
5E,Mohican State Park,6.9,27.3,Yes,Yes,,570,1021,-451,3594,3593
6A,Gorge Overlook,3.8,31.1,Yes,No,,884,639,245,4478,4232
7B,Fire Tower,4.5,35.6,Yes,No,,583,338,245,5061,4570
8C,Covered Bridge,6.2,41.8,No,Yes,,1072,1429,-357,6133,5999
9D,Hickory Ridge,5.6,47.4,No,No,,545,226,319,6678,6225
10E,Mohican State Park,6.9,54.3,Yes,Yes,,570,1021,-451,7248,7246
11A,Gorge Overlook,3.8,58.1,Yes,No,,884,639,245,8132,7885
12B,Fire Tower,4.5,62.6,Yes,No,,583,338,245,8715,8223
13C,Covered Bridge,2.6,65.2,No,Yes,,226,583,-357,8941,8806
14D,Hickory Ridge,5.6,70.8,No,No,,545,226,319,9486,9032
15E,Mohican State Park,6.9,77.7,Yes,Yes,5:45 AM,570,1021,-451,10056,10053
16A,Gorge Overlook,3.8,81.5,Yes,No,7:00 AM,884,639,245,10940,10692
17B,Fire Tower,4.5,86,Yes,No,8:25 AM,583,338,245,11523,11030
18C,Covered Bridge,2.6,88.6,No,Yes,9:15 AM,226,583,-357,11749,11613
19D,Hickory Ridge,5.6,94.2,No,No,11:00 AM,545,226,319,12294,11839
20F,Mohican Adventures,6.3,100.5,Yes,Yes,1:00 PM,570,1021,-451,12864,12860